,city,lat,long,temp,humidity,cloudiness,windspeed,max temp,country,datetime
117,Zarand,30.81,56.56,5.53,65,0,0.93,5.53,IR,1603572170
118,Kalmunai,7.42,81.82,26.3,78,99,2.69,26.3,LK,1603572170
119,Meshcherino,55.2,38.36,8.44,87,75,2.0,9.0,RU,1603572170
120,Touros,-5.2,-35.46,27.0,74,20,4.6,27.0,BR,1603572170
121,Bambous Virieux,-20.34,57.76,21.85,78,75,5.1,23.0,MU,1603572171
122,Moree,-29.47,149.85,17.0,88,40,4.19,17.0,AU,1603572171
123,Hohhot,40.81,111.65,8.0,52,20,2.0,8.0,CN,1603572171
124,Saint Paul Harbor,57.79,-152.41,7.0,100,40,1.19,7.0,US,1603572146
125,Chernyshevskiy,63.01,112.47,-4.77,99,78,2.51,-4.77,RU,1603572171
126,Rock Springs,41.59,-109.2,8.0,31,90,5.7,8.0,US,1603571960
127,Nyimba,-14.56,30.81,25.92,27,23,3.46,25.92,ZM,1603572172
128,Saldanha,-33.01,17.94,16.0,87,0,3.6,16.0,ZA,1603572172
129,Bar Harbor,44.39,-68.2,13.51,87,90,2.6,14.44,US,1603572173
130,Lázaro Cárdenas,17.96,-102.2,29.83,74,54,4.1,29.83,MX,1603572173
131,Mar del Plata,-38.0,-57.56,15.94,88,90,4.1,17.0,AR,1603572011
132,Tommot,58.96,126.29,-4.97,96,51,0.78,-4.97,RU,1603572174
133,Deputatsky,69.3,139.9,-12.35,91,0,5.06,-12.35,RU,1603572174
134,Gornyy,55.12,83.91,-4.72,94,22,3.96,-4.72,RU,1603572175
135,Pudozh,61.81,36.53,2.64,82,100,2.53,2.64,RU,1603572175
136,Turan,16.07,108.22,21.0,94,75,1.5,21.0,VN,1603572175
137,Bras-Panon,-21.0,55.68,19.14,60,0,7.2,22.0,RE,1603572175
138,Barrow,71.29,-156.79,-1.0,86,90,5.1,-1.0,US,1603572002
139,Tambura,5.6,27.47,22.44,87,81,0.88,22.44,SS,1603572176
140,Nanortalik,60.14,-45.24,0.22,91,5,4.13,0.22,GL,1603572176
